17/08/2015 12:24:15	/tf/home/test	 IP = ::1	 Method = GET
18/08/2015 11:31:29	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:31:32	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:31:38	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:31:42	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:32:14	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:32:19	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:32:24	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:32:28	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:32:46	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:33:06	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:33:10	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:34:05	/tf/auth/login	 IP = 127.0.0.1	 Method = GET
18/08/2015 11:34:05	/tf/auth/login	 IP = 127.0.0.1	 Method = GET
18/08/2015 11:34:13	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:34:17	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:34:26	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:34:41	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:35:11	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:35:26	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:35:26	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:35:40	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:40:31	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:41:13	/tf/auth/login	 IP = 127.0.0.1	 Method = GET
18/08/2015 11:41:13	/tf/styles/form.css	 IP = 127.0.0.1	 Method = GET
18/08/2015 11:41:13	/tf/styles/login.css	 IP = 127.0.0.1	 Method = GET
18/08/2015 11:41:14	/tf/auth/login	 IP = 127.0.0.1	 Method = GET
18/08/2015 11:41:15	/tf/styles/form.css	 IP = 127.0.0.1	 Method = GET
18/08/2015 11:41:15	/tf/styles/login.css	 IP = 127.0.0.1	 Method = GET
18/08/2015 11:41:42	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:42:16	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:42:21	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:43:05	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:43:11	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:43:13	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:43:38	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:44:29	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:46:42	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:46:56	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:46:56	/tf/styles/form.css	 IP = ::1	 Method = GET
18/08/2015 11:46:56	/tf/styles/login.css	 IP = ::1	 Method = GET
18/08/2015 11:47:47	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:47:47	/tf/styles/form.css	 IP = ::1	 Method = GET
18/08/2015 11:47:47	/tf/styles/login.css	 IP = ::1	 Method = GET
18/08/2015 11:48:09	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:48:09	/tf/styles/form.css	 IP = ::1	 Method = GET
18/08/2015 11:48:09	/tf/styles/login.css	 IP = ::1	 Method = GET
18/08/2015 11:48:27	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:48:27	/tf/styles/form.css	 IP = ::1	 Method = GET
18/08/2015 11:48:27	/tf/styles/login.css	 IP = ::1	 Method = GET
18/08/2015 11:48:46	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:48:46	/tf/styles/form.css	 IP = ::1	 Method = GET
18/08/2015 11:48:46	/tf/styles/login.css	 IP = ::1	 Method = GET
18/08/2015 11:48:56	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:48:56	/tf/styles/form.css	 IP = ::1	 Method = GET
18/08/2015 11:48:56	/tf/styles/login.css	 IP = ::1	 Method = GET
18/08/2015 11:49:03	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:49:04	/tf/styles/form.css	 IP = ::1	 Method = GET
18/08/2015 11:49:04	/tf/styles/login.css	 IP = ::1	 Method = GET
18/08/2015 11:49:33	/tf/auth/login	 IP = ::1	 Method = POST
18/08/2015 11:49:33	/tf/styles/form.css	 IP = ::1	 Method = GET
18/08/2015 11:49:33	/tf/styles/login.css	 IP = ::1	 Method = GET
18/08/2015 11:49:37	/tf/auth/login	 IP = ::1	 Method = POST
18/08/2015 11:49:37	/tf/styles/form.css	 IP = ::1	 Method = GET
18/08/2015 11:49:37	/tf/styles/login.css	 IP = ::1	 Method = GET
